STATE,COMPANY,CITY,NUMBER_OF_WORKERS,WARN_RECEIVED_DATE,EFFECTIVE_DATE,CLOSURE_LAYOFF,LAYOFFDURATION,REGION,COUNTY,INDUSTRY
Wisconsin,"Wausau Equipment Company, LLC Update",Berlin,67,2025-12-04 00:00:00,2025-12-07 00:00:00,layoff,temporary,WOW,Waukesha,Manufacturing
Missouri,Simmons Animal Nutrition,Milan,151,2025-12-04 00:00:00,2026-01-31 00:00:00,closure,temporary,Northeast,Sullivan,Manufacturing
Nevada,Turnkey One Source,Vegas,79,2025-12-04 00:00:00,2026-01-27 00:00:00,layoff,permanent,Bluegrass,Clark,Professional Services
Tennessee,JTEKT North America Corporation,Telford,136,2025-12-04 00:00:00,2026-08-31 00:00:00,closure,permanent,WOW,Washington,Manufacturing
Maryland,"The Cheesecake Factory Restaurants, Inc.",Baltimore,115,2025-12-04 00:00:00,2026-01-24 00:00:00,closure,temporary,Baltimore City,Baltimore County,Accommodation & Food Services
California,Roseburg Forest Product Co Weed Veneer,Mill,147,2025-12-03 00:00:00,2026-02-01 00:00:00,closure,temporary,Northern,Siskiyou County,Manufacturing
Tennessee,Kroger Fulfillment Network LLC,Nashville,132,2025-12-03 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Davidson,Professional Services
Iowa,"CRST Expedited, Inc dba CRST The Transportation Solutions, Inc",Rapids,30,2025-12-03 00:00:00,2026-02-01 00:00:00,layoff,temporary,East Central Iowa,Linn,Transportation & Warehousing
California,Palo Verde Hospital,N First,99,2025-12-03 00:00:00,2026-01-24 00:00:00,layoff,temporary,Northern,Riverside County,Healthcare & Social Assistance
California,FreshRealm,San Clemente,53,2025-12-03 00:00:00,2026-01-31 00:00:00,closure,temporary,Northern,Orange County,Manufacturing
California,"CRST Expedited, Inc. dba CRST The Transportation Solution",Wilson,4,2025-12-03 00:00:00,2026-02-02 00:00:00,layoff,temporary,Northern,Riverside County,Transportation & Warehousing
California,Shell Recharge Solutions,S,2,2025-12-03 00:00:00,2026-01-31 00:00:00,closure,temporary,Northern,Los Angeles County,Other Services
California,"CRST Expedited, Inc. dba CRST The Transportation Solution, Inc.",W Yosemite,1,2025-12-03 00:00:00,2026-02-02 00:00:00,layoff,temporary,Northern,San Joaquin County,Transportation & Warehousing
Indiana,FreshRealm,Indianapolis,168,2025-12-02 00:00:00,2026-01-31 00:00:00,closure,temporary,Northern,Indianapolis County,Accommodation & Food Services
Maryland,Peraton’s Environmental Integration Services III (“ETIS”),Greenbelt,130,2025-12-02 00:00:00,2026-01-31 00:00:00,layoff,temporary,Prince George's,Greenbelt County,Professional Services
Colorado,Heibar Installation Inc.,Louisville,75,2025-12-02 00:00:00,2025-12-02 00:00:00,layoff,temporary,Denver,nan County,Mining
North Carolina,"10 Roads Express, LLC",Greensboro,74,2025-12-02 00:00:00,2026-02-28 00:00:00,closure,permanent,Northern,Guilford,Professional Services
California,Cell Margue Corporation,Sierra College,68,2025-12-02 00:00:00,2026-02-06 00:00:00,closure,temporary,Northern,Placer County,Manufacturing
Virginia,Fortex,Martinsville,68,2025-12-02 00:00:00,2025-12-05 00:00:00,layoff,temporary,Western,Martinsville County,Manufacturing
North Carolina,"Precision Concepts International, LLC",Mebane,59,2025-12-02 00:00:00,2026-02-01 00:00:00,closure,permanent,Northern,Alamance,Professional Services
Oregon,Vibra Specialty Hospital of Portland,Portland,310,2025-12-01 00:00:00,2026-02-01 00:00:00,layoff,temporary,Northern,Portland County,Healthcare
South Carolina,House of Raeford,Nesmith,216,2025-12-01 00:00:00,2025-11-14 00:00:00,layoff,temporary,Northern,Williamsburg,Food Manufacturing
Pennsylvania,PA Potato Chip Manufacturing LLC,Berlin,96,2025-12-01 00:00:00,2025-12-01 00:00:00,closure,temporary,Northern,Somerset,Manufacturing
Maryland,"S3 Shared Service Solutions, LLC",Baltimore,92,2025-12-01 00:00:00,2026-02-01 00:00:00,layoff,temporary,Baltimore City,Baltimore County,Finance & Insurance
